beta,gamma
0.40189323,0.09400656
0.51851055,0.12627186
0.47428249,0.13161244
0.44420425,0.11825794
0.37818713,0.13078704
0.33167315,0.09554057
0.43435666,0.09635864
0.47988196,0.10578850
0.50393331,0.12910379
0.35308579,0.09934140
0.49406835,0.14597612
0.50268870,0.13790014
0.50289418,0.11243370
0.35060546,0.11215164
0.49386400,0.13638904
0.39366751,0.09566903
0.53936598,0.15576785
0.44286079,0.11913745
0.35438660,0.09832648
0.44856125,0.12721153
0.46801603,0.12358929
0.39413744,0.10442171
0.47481398,0.13198130
0.45790005,0.13028555
0.41924293,0.15238899
0.37522235,0.10474677
0.39313503,0.10806051
0.52010356,0.12109199
0.37250693,0.13201887
0.51854452,0.14578161
0.55534300,0.13523614
0.48132149,0.13379583
0.47050979,0.12242979
0.38704465,0.13504074
0.68999524,0.19856638
0.38109360,0.08204606
0.39503840,0.08855777
0.53550828,0.15542217
0.46651655,0.11068561
0.51038524,0.14760613
0.44928579,0.11037674
0.58990097,0.14776981
0.38591638,0.09900428
0.46067286,0.10970139
0.36224763,0.09894512
0.43708460,0.13909768
0.40065775,0.09611534
0.46201934,0.13401544
0.39328947,0.14554872
0.54001321,0.13829167
0.45942948,0.14167118
0.30147694,0.09668590
0.34145106,0.08099278
0.49547805,0.15475586
0.48424780,0.14306369
0.41436689,0.08903658
0.31320180,0.09788439
0.52979802,0.12225481
0.48149835,0.14146280
0.48248160,0.14982055
0.55630955,0.15621425
0.49955387,0.12327756
0.45745716,0.13194685
0.41855512,0.12016116
0.39178235,0.11224593
0.38720221,0.11043274
0.43864454,0.12267539
0.33153012,0.09841816
0.47292140,0.13916595
0.38125147,0.09501350
0.41488189,0.09941404
0.45271434,0.13157849
0.36294661,0.10611069
0.45068925,0.10417245
0.52623065,0.14277963
0.40137089,0.11763131
0.46907750,0.10901046
0.38170029,0.09339663
0.43502483,0.14787495
0.57561501,0.18091412
0.41589084,0.11576114
0.49908682,0.14957221
0.35729722,0.08416881
0.45761586,0.14729865
0.43616982,0.11238181
0.42508390,0.13073716
0.31477205,0.09741493
0.46745775,0.11386113
0.41221621,0.09276264
0.50450611,0.10469953
0.46811132,0.14267028
0.51160004,0.12427119
0.45231564,0.11656861
0.43143983,0.10228764
0.44164825,0.12907139
0.57235863,0.17412070
0.47108930,0.11726703
0.40374110,0.08081660
0.50757078,0.13891295
0.44880954,0.14674185
0.39367529,0.11248409
0.42236545,0.13460250
0.37414188,0.08596219
0.49575355,0.13222527
0.44583520,0.11420248
0.34295522,0.08488268
0.41300088,0.11081230
